"ROI","adolescents","Adults","adolescents","Adults"
"IOG-faces",6,16,"11","20"
"pFus-faces",15,22,"12","24"
"mFus-faces",14,20,"12","21"
"pOTS-words",14,26,"6","15"
"mOTS-words",8,12," "," "
"OTS-bodies",11,14,"11","19"
"CoS-places",14,24,"14","25"
"LOS-bodies",14,25,"15","24"
"ITG-bodies",11,21,"13","23"
"MTG-bodies*",14,25,"14","27"
"pSTS-faces*",10,11,"4","9"
"MOG-places",15,23,"15","25"
"IPS-places",15,25,"15","25"
